Comb., Node, uX, uY, uZ, rotX, rotY , rotZ
LC1, 4210, 0, 0, 0, 0, 0, 0
LC1, 4211, 0, 0, 0, 0, 0, 0
LC1, 4212, 0, 0, 0, 0, 0, 0
LC1, 4213, 0, 0, 0, 0, 0, 0
LC1, 4214, 0, 0, 0, 0, 0, 0
LC1, 4215, 0, 0, 0, 0, 0, 0
LC1, 4216, 0, 0, 0, 0, 0, 0
LC1, 4217, 0, 0, 0, 0, 0, 0
LC1, 4218, 0, 0, 0, 0, 0, 0
LC1, 4219, 0, 0, 0, 0, 0, 0
LC1, 4220, 0, 0, 0, 0, 0, 0
LC1, 4221, 0, 0, 0, 0, 0, 0
LC1, 4222, 0, 0, 0, 0, 0, 0
LC1, 4223, 0, 0, 0, 0, 0, 0
LC1, 4224, 0, 0, 0, 0, 0, 0
LC1, 4225, 0, 0, 0, 0, 0, 0
LC1, 4226, 0, 0, 0, 0, 0, 0
LC1, 4227, 0, 0, 0, 0, 0, 0
LC1, 4228, 0, 0, 0, 0, 0, 0
LC1, 4229, 0, 0, 0, 0, 0, 0
LC1, 4230, 0, 0, 0, 0, 0, 0
LC1, 4231, 0, 0, 0, 0, 0, 0
LC1, 4232, 0, 0, 0, 0, 0, 0
LC1, 4233, 0, 0, 0, 0, 0, 0
LC1, 4234, 0, 0, 0, 0, 0, 0
LC1, 4235, 0, 0, 0, 0, 0, 0
LC1, 4236, 0, 0, 0, 0, 0, 0
LC1, 4237, 0, 0, 0, 0, 0, 0
LC1, 4238, 0, 0, 0, 0, 0, 0
LC1, 4239, 0, 0, 0, 0, 0, 0
LC1, 4240, 0, 0, 0, 0, 0, 0
LC1, 4241, 0, 0, 0, 0, 0, 0
LC1, 4242, 0, 0, 0, 0, 0, 0
LC1, 4243, 0, 0, 0, 0, 0, 0
LC1, 4244, 0, 0, 0, 0, 0, 0
LC1, 4245, 0, 0, 0, 0, 0, 0
LC1, 4246, 0, 0, 0, 0, 0, 0
LC1, 4247, 0, 0, 0, 0, 0, 0
LC1, 4248, 0, 0, 0, 0, 0, 0
LC1, 4249, 0, 0, 0, 0, 0, 0
LC1, 4250, 0, 0, 0, 0, 0, 0
LC1, 4251, 0, 0, 0, 0, 0, 0
LC1, 4252, 0, 0, 0, 0, 0, 0
LC1, 4253, 0, 0, 0, 0, 0, 0
LC1, 4254, 0, 0, 0, 0, 0, 0
LC1, 1055, 0, 0, 0, 0, 0, 0
LC1, 1003, 0, 0, 0, 0, 0, 0
LC1, 4255, 0, 0, 0, 0, 0, 0
LC1, 4256, 0, 0, 0, 0, 0, 0
LC1, 4257, 0, 0, 0, 0, 0, 0
LC1, 4258, 0, 0, 0, 0, 0, 0
LC1, 4259, 0, 0, 0, 0, 0, 0
LC1, 4260, 0, 0, 0, 0, 0, 0
LC1, 4261, 0, 0, 0, 0, 0, 0
LC1, 4262, 0, 0, 0, 0, 0, 0
LC1, 4263, 0, 0, 0, 0, 0, 0
LC1, 4264, 0, 0, 0, 0, 0, 0
LC1, 4265, 0, 0, 0, 0, 0, 0
LC1, 4266, 0, 0, 0, 0, 0, 0
LC1, 4267, 0, 0, 0, 0, 0, 0
LC1, 4268, 0, 0, 0, 0, 0, 0
LC1, 4269, 0, 0, 0, 0, 0, 0
LC1, 4270, 0, 0, 0, 0, 0, 0
LC1, 4271, 0, 0, 0, 0, 0, 0
LC1, 4272, 0, 0, 0, 0, 0, 0
LC1, 4273, 0, 0, 0, 0, 0, 0
LC1, 4274, 0, 0, 0, 0, 0, 0
LC1, 4275, 0, 0, 0, 0, 0, 0
LC1, 4276, 0, 0, 0, 0, 0, 0
LC1, 4277, 0, 0, 0, 0, 0, 0
LC1, 4278, 0, 0, 0, 0, 0, 0
LC1, 4279, 0, 0, 0, 0, 0, 0
LC1, 4280, 0, 0, 0, 0, 0, 0
LC1, 4281, 0, 0, 0, 0, 0, 0
LC1, 4282, 0, 0, 0, 0, 0, 0
LC1, 4283, 0, 0, 0, 0, 0, 0
LC1, 4284, 0, 0, 0, 0, 0, 0
LC1, 4285, 0, 0, 0, 0, 0, 0
LC1, 4286, 0, 0, 0, 0, 0, 0
LC1, 4287, 0, 0, 0, 0, 0, 0
LC1, 4288, 0, 0, 0, 0, 0, 0
LC1, 4289, 0, 0, 0, 0, 0, 0
LC1, 4290, 0, 0, 0, 0, 0, 0
LC1, 4291, 0, 0, 0, 0, 0, 0
LC1, 4292, 0, 0, 0, 0, 0, 0
LC1, 4293, 0, 0, 0, 0, 0, 0
LC1, 4294, 0, 0, 0, 0, 0, 0
LC1, 4295, 0, 0, 0, 0, 0, 0
LC1, 4296, 0, 0, 0, 0, 0, 0
LC1, 4297, 0, 0, 0, 0, 0, 0
LC1, 4298, 0, 0, 0, 0, 0, 0
LC1, 4299, 0, 0, 0, 0, 0, 0
LC1, 4300, 0, 0, 0, 0, 0, 0
LC1, 4301, 0, 0, 0, 0, 0, 0
LC1, 4302, 0, 0, 0, 0, 0, 0
LC1, 4303, 0, 0, 0, 0, 0, 0
LC1, 4304, 0, 0, 0, 0, 0, 0
LC1, 1054, 0, 0, 0, 0, 0, 0
LC1, 1004, 0, 0, 0, 0, 0, 0
LC1, 1005, 0, 0, 0, 0, 0, 0
LC1, 1006, 0, 0, 0, 0, 0, 0
LC1, 1007, 0, 0, 0, 0, 0, 0
LC1, 1008, 0, 0, 0, 0, 0, 0
LC1, 1009, 0, 0, 0, 0, 0, 0
LC1, 1010, 0, 0, 0, 0, 0, 0
LC1, 1011, 0, 0, 0, 0, 0, 0
LC1, 1012, 0, 0, 0, 0, 0, 0
LC1, 1013, 0, 0, 0, 0, 0, 0
LC1, 1014, 0, 0, 0, 0, 0, 0
LC1, 1015, 0, 0, 0, 0, 0, 0
LC1, 1016, 0, 0, 0, 0, 0, 0
LC1, 1017, 0, 0, 0, 0, 0, 0
LC1, 1018, 0, 0, 0, 0, 0, 0
LC1, 1019, 0, 0, 0, 0, 0, 0
LC1, 1020, 0, 0, 0, 0, 0, 0
LC1, 1021, 0, 0, 0, 0, 0, 0
LC1, 1022, 0, 0, 0, 0, 0, 0
LC1, 1023, 0, 0, 0, 0, 0, 0
LC1, 1024, 0, 0, 0, 0, 0, 0
LC1, 1025, 0, 0, 0, 0, 0, 0
LC1, 1026, 0, 0, 0, 0, 0, 0
LC1, 1027, 0, 0, 0, 0, 0, 0
LC1, 1028, 0, 0, 0, 0, 0, 0
LC1, 1029, 0, 0, 0, 0, 0, 0
LC1, 1030, 0, 0, 0, 0, 0, 0
LC1, 1031, 0, 0, 0, 0, 0, 0
LC1, 1032, 0, 0, 0, 0, 0, 0
LC1, 1033, 0, 0, 0, 0, 0, 0
LC1, 1034, 0, 0, 0, 0, 0, 0
LC1, 1035, 0, 0, 0, 0, 0, 0
LC1, 1036, 0, 0, 0, 0, 0, 0
LC1, 1037, 0, 0, 0, 0, 0, 0
LC1, 1038, 0, 0, 0, 0, 0, 0
LC1, 1039, 0, 0, 0, 0, 0, 0
LC1, 1040, 0, 0, 0, 0, 0, 0
LC1, 1041, 0, 0, 0, 0, 0, 0
